ScheduleID,TripID,DayNumber,ScheduleDate,ScheduleTime,TaskDescription
1,1,1,2025-02-15,08:30:00,Water sports and outdoor activities
2,1,2,2025-02-16,13:30:00,Airport transfer and departure
3,2,1,2024-09-10,08:30:00,Check in to hotel and freshen up
4,2,2,2024-09-11,12:00:00,Shopping at local fashion district
5,3,1,2023-09-01,20:30:00,Morning sightseeing at main landmark
6,3,2,2023-09-02,13:00:00,Dinner at rooftop restaurant
7,4,1,2023-01-09,16:30:00,Cooking class in morning
8,4,2,2023-01-10,08:30:00,Day trip to nearby attraction
9,5,1,2025-04-16,12:00:00,Guided walking tour of old city
10,5,2,2025-04-17,19:00:00,Morning sightseeing at main landmark
11,5,3,2025-04-18,15:00:00,Cooking class in morning
12,6,1,2023-03-17,10:30:00,Relax at beach or hotel pool
13,6,2,2023-03-18,18:00:00,Dinner at rooftop restaurant
14,6,3,2023-03-19,08:00:00,Book transport for next destination
15,7,1,2024-09-27,09:00:00,Morning sightseeing at main landmark
16,8,1,2024-03-06,19:30:00,Free time for personal exploration
17,9,1,2024-10-30,19:30:00,Water sports and outdoor activities
18,9,2,2024-10-31,17:30:00,Guided walking tour of old city
19,9,3,2024-11-01,09:30:00,Morning sightseeing at main landmark
20,10,1,2024-09-01,14:30:00,Book transport for next destination
21,10,2,2024-09-02,16:00:00,Relax at beach or hotel pool
22,11,1,2024-07-23,08:30:00,Free time for personal exploration
23,11,2,2024-07-24,14:00:00,Breakfast at local cafe near hotel
24,11,3,2024-07-25,12:30:00,Morning sightseeing at main landmark
25,12,1,2024-03-08,20:00:00,Shopping at local fashion district
26,12,2,2024-03-09,16:30:00,Free time for personal exploration
27,12,3,2024-03-10,16:00:00,Free time for personal exploration
28,13,1,2024-11-30,17:00:00,Guided walking tour of old city
29,13,2,2024-12-01,16:30:00,Cooking class in morning
30,13,3,2024-12-02,09:00:00,Free time for personal exploration
31,14,1,2023-03-24,19:30:00,Morning sightseeing at main landmark
32,15,1,2023-07-15,17:00:00,Breakfast at local cafe near hotel
33,15,2,2023-07-16,10:30:00,Free time for personal exploration
34,15,3,2023-07-17,15:00:00,Relax at beach or hotel pool
35,16,1,2024-09-02,11:30:00,Airport transfer and departure
36,16,2,2024-09-03,19:30:00,Shopping at local fashion district
37,17,1,2023-09-28,19:30:00,Morning sightseeing at main landmark
38,18,1,2024-05-27,08:30:00,Day trip to nearby attraction
39,18,2,2024-05-28,11:00:00,Guided walking tour of old city
40,19,1,2024-02-22,16:00:00,Relax at beach or hotel pool
41,20,1,2024-04-13,17:30:00,Lunch at recommended restaurant
42,20,2,2024-04-14,16:00:00,Day trip to nearby attraction
43,21,1,2024-01-11,13:30:00,Lunch at recommended restaurant
44,21,2,2024-01-12,17:00:00,Airport transfer and departure
45,21,3,2024-01-13,15:30:00,Check in to hotel and freshen up
46,22,1,2024-10-19,11:00:00,Evening sunset view at city viewpoint
47,22,2,2024-10-20,12:30:00,Evening sunset view at city viewpoint
48,23,1,2023-10-19,09:00:00,Morning sightseeing at main landmark
49,24,1,2024-09-11,20:00:00,Cooking class in morning
50,24,2,2024-09-12,19:00:00,Guided walking tour of old city
51,25,1,2023-08-27,09:30:00,Lunch at recommended restaurant
52,25,2,2023-08-28,09:00:00,Shopping at local fashion district
53,25,3,2023-08-29,19:00:00,Free time for personal exploration
54,26,1,2023-08-10,13:30:00,Dinner at rooftop restaurant
55,27,1,2023-04-17,16:30:00,Free time for personal exploration
56,27,2,2023-04-18,10:00:00,Day trip to nearby attraction
57,28,1,2023-06-19,20:00:00,Relax at beach or hotel pool
58,28,2,2023-06-20,17:30:00,Free time for personal exploration
59,29,1,2023-04-16,19:30:00,Cooking class in morning
60,29,2,2023-04-17,15:30:00,Afternoon museum or gallery visit
61,30,1,2024-04-17,19:00:00,Book transport for next destination
62,31,1,2024-11-03,17:30:00,Relax at beach or hotel pool
63,32,1,2023-06-13,08:00:00,Day trip to nearby attraction
64,32,2,2023-06-14,08:00:00,Book transport for next destination
65,32,3,2023-06-15,14:00:00,Airport transfer and departure
66,33,1,2023-07-10,10:30:00,Relax at beach or hotel pool
67,34,1,2024-03-03,13:00:00,Pack bags and prepare for checkout
68,35,1,2024-10-01,12:00:00,Pack bags and prepare for checkout
69,35,2,2024-10-02,08:30:00,Dinner at rooftop restaurant
70,35,3,2024-10-03,07:30:00,Visit local market and buy souvenirs
71,36,1,2025-05-11,17:30:00,Lunch at recommended restaurant
72,36,2,2025-05-12,09:00:00,Day trip to nearby attraction
73,36,3,2025-05-13,20:30:00,Lunch at recommended restaurant
74,37,1,2024-04-07,14:30:00,Shopping at local fashion district
75,37,2,2024-04-08,07:00:00,Check in to hotel and freshen up
76,37,3,2024-04-09,11:00:00,Lunch at recommended restaurant
77,38,1,2023-09-07,18:30:00,Visit local market and buy souvenirs
78,38,2,2023-09-08,19:30:00,Dinner at rooftop restaurant
79,38,3,2023-09-09,11:00:00,Breakfast at local cafe near hotel
80,39,1,2023-03-30,13:30:00,Morning sightseeing at main landmark
81,40,1,2023-06-21,20:30:00,Shopping at local fashion district
82,41,1,2023-07-20,07:00:00,Lunch at recommended restaurant
83,41,2,2023-07-21,11:30:00,Check in to hotel and freshen up
84,41,3,2023-07-22,16:30:00,Dinner at rooftop restaurant
85,42,1,2023-06-08,13:00:00,Morning sightseeing at main landmark
86,42,2,2023-06-09,15:30:00,Morning sightseeing at main landmark
87,42,3,2023-06-10,15:00:00,Pack bags and prepare for checkout
88,43,1,2023-01-13,07:30:00,Relax at beach or hotel pool
89,43,2,2023-01-14,11:00:00,Relax at beach or hotel pool
90,44,1,2024-04-16,12:00:00,Visit local market and buy souvenirs
91,45,1,2023-08-30,18:30:00,Lunch at recommended restaurant
92,45,2,2023-08-31,07:30:00,Overnight desert or mountain camp
93,45,3,2023-09-01,12:00:00,Free time for personal exploration
94,46,1,2025-05-09,14:00:00,Lunch at recommended restaurant
95,46,2,2025-05-10,08:30:00,Breakfast at local cafe near hotel
96,46,3,2025-05-11,11:00:00,Breakfast at local cafe near hotel
97,47,1,2024-05-03,07:30:00,Day trip to nearby attraction
98,48,1,2024-09-07,13:30:00,Book transport for next destination
99,48,2,2024-09-08,07:00:00,Day trip to nearby attraction
100,48,3,2024-09-09,12:00:00,Guided walking tour of old city
