HotelID,DestinationID,HotelName,CheckIn,CheckOut,CostPerNight
1,1,Luxury London Hotel,2025-02-15,2025-02-17,146.66
2,2,Golden London Resort,2024-09-10,2024-09-12,226.43
3,3,Golden Istanbul Retreat,2024-09-12,2024-09-15,154.09
4,4,Sunset Sydney Plaza,2023-09-01,2023-09-05,382.31
5,5,Palace Athens Hotel,2023-01-09,2023-01-14,347.1
6,6,Grand Amsterdam Lodge,2025-04-16,2025-04-18,131.93
7,7,Royal Bangkok Hotel,2025-04-18,2025-04-20,349.24
8,8,Premier Amsterdam Resort,2023-03-17,2023-03-19,384.08
9,9,Imperial Vienna Suites,2024-09-27,2024-10-03,137.8
10,10,Palace Rome Inn,2024-10-03,2024-10-08,271.23
11,11,Premier Paris Residences,2024-03-06,2024-03-10,326.78
12,12,Golden Paris Suites,2024-10-30,2024-11-03,288.42
13,13,Royal Tokyo Suites,2024-11-03,2024-11-10,435.54
14,14,Royal Cape Town Hotel,2024-09-01,2024-09-03,420.84
15,15,Imperial Lisbon Retreat,2024-07-23,2024-07-29,202.63
16,16,Premier Lahore Inn,2024-07-29,2024-08-04,282.76
17,17,Premier New York Inn,2024-03-08,2024-03-11,325.85
18,18,Elite Lahore Inn,2024-11-30,2024-12-02,366.45
19,19,Imperial Athens Hotel,2023-03-24,2023-03-28,182.35
20,20,Sunset Cape Town Lodge,2023-07-15,2023-07-17,68.27
21,21,Golden Marrakech Hotel,2024-09-02,2024-09-04,388.33
22,22,Palace Paris Inn,2023-09-28,2023-10-03,217.74
23,23,Golden New York Residences,2023-10-03,2023-10-05,330.0
24,24,Sunset Singapore Suites,2024-05-27,2024-05-31,340.86
25,25,Elite Istanbul Residences,2024-02-22,2024-02-29,230.6
26,26,Imperial Maldives Plaza,2024-04-13,2024-04-17,172.14
27,27,Premier Dubai Inn,2024-01-11,2024-01-15,154.36
28,28,Palace Cape Town Resort,2024-10-19,2024-10-25,347.7
29,29,Imperial Bali Retreat,2024-10-25,2024-10-27,177.92
30,30,Palace London Lodge,2023-10-19,2023-10-22,114.55
31,31,Premier Paris Lodge,2024-09-11,2024-09-13,367.11
32,32,Golden Prague Plaza,2024-09-13,2024-09-18,400.93
33,33,Elite Athens Hotel,2023-08-27,2023-08-31,251.82
34,34,Premier Lahore Inn,2023-08-31,2023-09-06,138.96
35,35,Sunset Maldives Residences,2023-08-10,2023-08-16,267.62
36,36,Premier London Residences,2023-04-17,2023-04-19,304.82
37,37,Palace Istanbul Residences,2023-06-19,2023-06-25,365.1
38,38,Royal Amsterdam Plaza,2023-06-25,2023-07-02,130.85
39,39,Premier Singapore Plaza,2023-04-16,2023-04-21,312.22
40,40,Golden Cape Town Residences,2024-04-17,2024-04-20,266.92
